cluster,sub_id,spend_30d,cnt,avg_ticket,cluster_total,share_30d,spend_last14,spend_prev14,trend14_pct,z_share,z_trend,z_ticket,score
0,식재료,951298,12,79274.83333333333,4074900,0.2334530908733956,0.0,0.0,,2.1554725352869704,0.0,2.0582334708960652,1.4893829618226984
0,온라인 쇼핑몰,695915,11,63265.0,4074900,0.17078087805835723,0.0,0.0,,1.2556027535733643,0.0,1.4181857429340907,0.9114385253735002
0,뷰티/미용,593843,10,59384.3,4074900,0.1457319198017129,0.0,0.0,,0.8959409579210647,0.0,1.263041515871429,0.7005787821348182
1,기타,959795,71,13518.239436619719,1870185,0.5132085863163267,115600.0,142345.0,-0.1878885805613123,3.3315180342098336,-0.7204370623407219,0.40454298003384914,1.5305364944094701
1,병원,95620,3,31873.333333333332,1870185,0.05112863165943474,18410.0,0.0,,-0.15308437039967743,0.0,2.64734836291361,0.45292748738288335
1,외식,249600,17,14682.35294117647,1870185,0.13346273229653743,34000.0,17400.0,0.9540229885057471,0.4678073219794963,-0.05079366395940482,0.5467857846195762,0.32802271872584193
2,외식,2233470,108,20680.277777777777,8428710,0.26498360959150324,0.0,0.0,,2.14445707039477,0.0,-0.028844798935165863,1.0664595754103519
2,식재료,1635290,28,58403.21428571428,8428710,0.19401426790101922,0.0,0.0,,1.30663447136321,0.0,1.9343414703495352,1.0401855297515121
2,간식,1179550,170,6938.529411764706,8428710,0.1399443093901676,0.0,0.0,,0.6683161202270247,0.0,-0.7439962215304492,0.1853588158074225
3,기타,2586132,45,57469.6,6247553,0.4139431870365885,55590.0,165000.0,-0.6630909090909091,3.2229157017245833,-0.5878846320475334,1.4213179371954157,1.7193560486871147
3,외식,1658120,60,27635.333333333332,6247553,0.2654031106258722,765400.0,71500.0,9.704895104895105,1.8748288405200788,0.992240471575434,0.18584762763972448,1.2722560872606146
3,대중교통,235100,11,21372.727272727272,6247553,0.03763073318465645,55000.0,2600.0,20.153846153846153,-0.1923368483193259,2.584704990403185,-0.07349388508353051,0.6645442959445864
4,택시/대리,514150,27,19042.59259259259,1177580,0.4366157713276377,0.0,0.0,,1.8184538803862027,0.0,-0.37026000619346155,0.8351749389544091
4,병원,218070,5,43614.0,1177580,0.1851848706669609,0.0,0.0,,0.12474388446077773,0.0,0.06526770553139721,0.0754254833366683
4,약국,213820,13,16447.69230769231,1177580,0.18157577404507536,0.0,0.0,,0.10043198401940027,0.0,-0.41625456256942656,-0.03303492050418518
5,기타,110262,11,10023.818181818182,134762,0.8181980083406242,10000.0,30000.0,-0.6666666666666666,1.153788834334218,0.0,-0.5727482458348699,0.462344768000135
