cluster,sub_id,spend_30d,cnt,avg_ticket,cluster_total,share_30d,spend_last14,spend_prev14,trend14_pct,z_share,z_trend,z_ticket,score,cluster_weight,global_score
5,외식,6700410,324,20680.277777777777,25286130,0.2649836095915033,0.0,0.0,,2.1444570703947705,0.0,-0.028844798935165863,1.066459575410352,0.36363636363636365,0.3878034819674008
5,식재료,4905870,84,58403.21428571428,25286130,0.19401426790101925,0.0,0.0,,1.30663447136321,0.0,1.9343414703495352,1.0401855297515121,0.36363636363636365,0.3782492835460044
2,기타,3976580,319,12465.76802507837,7480740,0.5315757532008865,495300.0,587980.0,-0.1576244089935032,3.348335667406307,-0.707440160050628,0.2889303448150497,1.519721854650975,0.18181818181818182,0.27631306448199544
